composition,material_id,target,composition_obj,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,max ionic char,avg ionic char
Hg0.7Cd0.3Te,1,,Hg0.7 Cd0.3 Te1,0.1666666666666666,0.3856451951492465,0.3671213626368093,0.3644081984991579,0.3700892674948497,0.3772327583145691,0.5053763440860215,0.8494623655913979,0.3440860215053763,0.6473118279569893,0.283010752688172,0.5483870967741935,0.7263157894736842,0.8811881188118812,0.198019801980198,0.8352631578947368,0.2031578947368421,0.936842105263158,0.4584637868414301,0.8213521873924605,0.3628884005510303,0.6167288346787958,0.2864726937991307,0.5209720021304399,0.0578394797571009,0.1860466947931079,0.1282072150360069,0.1361161357735252,0.109587318422994,0.1860466947931079,0.6875,0.8823529411764706,0.2352941176470588,0.7959183673469389,0.2499999999999999,0.9375,0.6666666666666666,0.8333333333333334,0.1666666666666666,0.725,0.1516666666666666,0.6666666666666666,0.4741784037558685,0.5305164319248826,0.056338028169014,0.4967136150234742,0.0315492957746478,0.5023474178403756,0.2821316614420062,0.4106583072100314,0.1285266457680251,0.3804075235109717,0.0605015673981191,0.4106583072100314,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.375,0.7999999999999998,0.8,1.0,1.0,0.0,0.9999999999999998,0.0,1.0,0.0,1.0,1.0,0.35,0.91,0.0,0.3928571428571428,0.8928571428571429,0.5,0.6392857142857142,0.3549999999999999,0.5357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.3999999999999999,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0454545454545454,0.0909090909090909,0.0909090909090909,0.1258115777525539,0.2644570563750283,0.1386454786224744,0.2133854423524631,0.1021432280451304,0.2644570563750283,0.0,0.0590856997325862,0.0590856997325862,0.0295428498662931,0.0590856997325862,0.0590856997325862,0.0,0.0,0.0,0.0,0.0,0.0,0.6607929515418502,0.8458149779735683,0.185022026431718,0.7101321585903082,0.0986784140969162,0.6607929515418502,1.0,0.375,0.9999999999999998,0.35,0.0446624049384636,0.0207056158214926
CuBr,2,,Cu1 Br1,0.0833333333333333,0.5156510469368579,0.473351125919995,0.4410401285647924,0.4291493275562995,0.4203135646900318,0.3010752688172043,0.3655913978494624,0.064516129032258,0.3333333333333333,0.064516129032258,0.3010752688172043,0.6631578947368421,0.9306930693069309,0.3069306930693069,0.8263157894736842,0.3263157894736842,0.6631578947368421,0.257366681034763,0.3246857531065006,0.0673190720717376,0.2910262170706318,0.0673190720717376,0.257366681034763,0.0661041378423151,0.3527864341990921,0.286682296356777,0.2094452860207036,0.2866822963567769,0.0661041378423151,0.625,0.9411764705882352,0.3529411764705882,0.7959183673469389,0.3749999999999999,0.625,0.5,0.5,0.0,0.5,0.0,0.5,0.4178403755868544,0.4741784037558685,0.056338028169014,0.4460093896713615,0.056338028169014,0.4178403755868544,0.347962382445141,0.6802507836990596,0.3322884012539185,0.5141065830721003,0.3322884012539185,0.347962382445141,0.5,1.0,0.5,0.75,0.4999999999999999,0.5,0.0,0.8333333333333334,0.8333333333333334,0.46875,0.9999999999999998,0.0,1.0,1.0,0.0,0.9999999999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.5714285714285714,0.2142857142857142,0.4642857142857143,0.2142857142857142,0.3571428571428571,0.0,1.0,1.0,0.5,0.9999999999999998,0.0,0.0,0.2,0.2,0.1,0.1999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.0454545454545454,0.0,0.0454545454545454,0.0,0.0454545454545454,0.0493076049943246,0.2164812712826333,0.1671736662883087,0.1328944381384789,0.1671736662883087,0.0493076049943246,0.0,0.1855341907551254,0.1855341907551254,0.0927670953775627,0.1855341907551254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2731277533039647,0.9823788546255506,0.7092511013215859,0.6277533039647576,0.7092511013215859,0.2731277533039647,0.75,0.46875,0.9999999999999998,0.0,0.2657724800473038,0.2657724800473037
LuP,3,,Lu1 P1,0.0833333333333333,0.5156510469368579,0.473351125919995,0.4410401285647924,0.4291493275562995,0.4203135646900318,0.1505376344086021,0.7526881720430108,0.6021505376344086,0.4516129032258064,0.6021505376344086,0.1505376344086021,0.4210526315789473,0.8118811881188119,0.4158415841584158,0.6421052631578947,0.4421052631578947,0.4210526315789473,0.123320169391543,0.7159034743768994,0.5925833049853564,0.4196118218842212,0.5925833049853564,0.123320169391543,0.0796247824226369,0.50459308110549,0.4249682986828529,0.2921089317640635,0.4249682986828529,0.0796247824226369,0.125,0.8235294117647058,0.7058823529411765,0.489795918367347,0.7499999999999999,0.125,0.3333333333333333,0.8333333333333334,0.5,0.5833333333333334,0.5,0.3333333333333333,0.3568075117370892,0.7323943661971831,0.3755868544600939,0.5446009389671361,0.3755868544600939,0.3568075117370892,0.1504702194357366,0.4388714733542319,0.2884012539184953,0.2946708463949843,0.2884012539184952,0.1504702194357366,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.28125,0.5999999999999999,0.0,0.0,0.1,0.1,0.0499999999999999,0.0999999999999999,0.0,0.0,1.0,1.0,0.4999999999999999,1.0,0.0,0.1428571428571428,0.5714285714285714,0.4285714285714285,0.3571428571428571,0.4285714285714285,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.5999999999999999,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1363636363636363,0.4090909090909091,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.1363636363636363,0.1537365547804767,0.2108967082860385,0.0571601535055618,0.1823166315332576,0.0571601535055618,0.1537365547804767,0.0,0.2069272889341653,0.2069272889341653,0.1034636444670826,0.2069272889341653,0.0,0.0,0.0010646418745808,0.0010646418745808,0.0005323209372904,0.0010646418745808,0.0,0.0,0.8458149779735683,0.8458149779735683,0.4229074889867841,0.8458149779735683,0.0,1.0,0.28125,0.0499999999999999,0.4999999999999999,0.2069689827426696,0.2069689827426692
Cu3SbSe4,4,,Cu3 Sb1 Se4,0.1666666666666666,0.4003416726665248,0.3798939519249266,0.372080141941685,0.3743389363320296,0.3789211681914783,0.3010752688172043,0.5376344086021505,0.2365591397849462,0.3575268817204301,0.0900537634408602,0.3548387096774194,0.6631578947368421,0.8712871287128713,0.2475247524752475,0.8223684210526315,0.2388157894736842,0.9263157894736842,0.257366681034763,0.4969382950208332,0.2395716139860702,0.3190302185182512,0.0924953062252321,0.3208008525052217,0.126015032856479,0.3527864341990921,0.2267714013426131,0.2245020989816198,0.1969741322502816,0.126015032856479,0.625,0.8823529411764706,0.2941176470588235,0.7959183673469389,0.2812499999999999,0.9375,0.5,0.6666666666666666,0.1666666666666666,0.5208333333333334,0.0729166666666666,0.5,0.4178403755868544,0.5070422535211268,0.0892018779342723,0.4501173708920187,0.0645539906103286,0.4178403755868544,0.347962382445141,0.5517241379310345,0.2037617554858934,0.4557210031347962,0.1920062695924764,0.5517241379310345,0.5,1.0,0.5,0.8125,0.4687499999999999,1.0,0.0,0.6666666666666666,0.6666666666666666,0.4453125,0.7124999999999999,0.8,1.0,1.0,0.0,0.9999999999999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.5357142857142857,0.1785714285714285,0.4642857142857143,0.1607142857142857,0.5357142857142857,0.0,1.0,1.0,0.375,0.9374999999999998,0.0,0.0,0.6,0.6,0.275,0.4124999999999999,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.1363636363636363,0.0909090909090909,0.0795454545454545,0.0511363636363636,0.0909090909090909,0.0493076049943246,0.2353688989784335,0.1860612939841089,0.139988649262202,0.1360215664018161,0.1841543700340522,0.0,0.1017445562205526,0.1017445562205526,0.0508722781102763,0.1017445562205526,0.1017445562205526,0.0,0.0,0.0,0.0,0.0,0.0,0.052863436123348,0.9823788546255506,0.9295154185022028,0.4851321585903083,0.8645374449339207,0.052863436123348,0.8125,0.4453125,0.9999999999999998,0.0,0.1087828541706294,0.0991664493473074
ZnO,5,,Zn1 O1,0.0833333333333333,0.5156510469368579,0.473351125919995,0.4410401285647924,0.4291493275562995,0.4203135646900318,0.075268817204301,0.3118279569892473,0.2365591397849462,0.1935483870967742,0.2365591397849462,0.075268817204301,0.7157894736842105,0.8514851485148515,0.1782178217821782,0.8105263157894737,0.1894736842105263,0.7157894736842105,0.0616952669153057,0.264914252753773,0.2032189858384673,0.1633047598345394,0.2032189858384673,0.0616952669153057,0.0107088755811908,0.1781758418898448,0.167466966308654,0.0944423587355178,0.167466966308654,0.0107088755811908,0.6875,0.8823529411764706,0.2352941176470588,0.7959183673469389,0.2499999999999999,0.6875,0.1666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1643192488262911,0.4272300469483568,0.2629107981220657,0.2957746478873239,0.2629107981220657,0.1643192488262911,0.2695924764890282,0.8307210031347962,0.5611285266457681,0.5501567398119122,0.5611285266457681,0.2695924764890282,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.375,0.7999999999999998,0.0,0.0,1.0,1.0,0.4999999999999999,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1785714285714285,0.3928571428571428,0.2142857142857142,0.2857142857142857,0.2142857142857142,0.1785714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0454545454545454,0.0909090909090909,0.0,0.0314642451759364,0.0755505107832009,0.0440862656072644,0.0535073779795686,0.0440862656072644,0.0314642451759364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0440528634361233,0.8458149779735683,0.801762114537445,0.4449339207048458,0.801762114537445,0.0440528634361233,1.0,0.375,0.4999999999999999,0.0,0.5981128907461275,0.5981128907461275
PtSb2,6,,Pt1 Sb2,0.0833333333333333,0.5789026494498102,0.5635845619183567,0.5676748962979851,0.5761624948553288,0.5837415101915121,0.5376344086021505,0.8279569892473119,0.2903225806451613,0.6344086021505376,0.2580645161290322,0.5376344086021505,0.6526315789473685,0.8316831683168316,0.2178217821782178,0.8070175438596492,0.2058479532163742,0.8842105263157894,0.4969382950208332,0.7986930107922046,0.3017547157713712,0.597523200277957,0.2682264140189966,0.4969382950208332,0.2335973578297659,0.5322644585572553,0.2986671007274894,0.3331530580722625,0.265481867313324,0.2335973578297659,0.5625,0.8235294117647058,0.2941176470588235,0.7551020408163266,0.2777777777777777,0.875,0.6666666666666666,0.8333333333333334,0.1666666666666666,0.7222222222222222,0.1481481481481481,0.6666666666666666,0.4929577464788732,0.5070422535211268,0.0140845070422535,0.5023474178403756,0.0125195618153364,0.5070422535211268,0.3949843260188087,0.4670846394984325,0.0721003134796238,0.41901776384535,0.0640891675374433,0.3949843260188087,0.5,1.0,0.5,0.8333333333333334,0.4444444444444443,1.0,0.0,0.5,0.5,0.375,0.5333333333333332,0.6,0.9,1.0,0.1,0.9666666666666665,0.0888888888888889,1.0,0.0,1.0,1.0,0.3333333333333333,0.8888888888888886,0.0,0.5,0.8214285714285714,0.3214285714285714,0.6071428571428571,0.2857142857142857,0.5,0.0,1.0,1.0,0.3333333333333333,0.8888888888888887,0.0,0.0,0.6,0.6,0.4,0.5333333333333332,0.6,0.0,0.1111111111111111,0.1111111111111111,0.037037037037037,0.0987654320987654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.1363636363636363,0.0454545454545454,0.1212121212121212,0.0404040404040404,0.1363636363636363,0.0851759364358683,0.2353688989784335,0.1501929625425652,0.1853045781309118,0.1335048555933913,0.2353688989784335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7224669603524229,0.9823788546255506,0.2599118942731278,0.8091042584434652,0.2310327949094468,0.7224669603524229,0.8333333333333334,0.375,0.9666666666666665,0.3333333333333333,0.0142578851056775,0.012673675649491
ZnIn2S4,7,,Zn1 In2 S4,0.1666666666666666,0.428910871632963,0.4265098970950853,0.4419801757855924,0.4546673650356186,0.4647757465459656,0.1612903225806451,0.5161290322580645,0.3548387096774194,0.2841781874039938,0.2808865481676542,0.1612903225806451,0.7157894736842105,0.8613861386138614,0.1881188118811881,0.8481203007518797,0.154672395273899,0.9157894736842104,0.1278110074872405,0.46836946030253,0.3405584528152895,0.2446996004725422,0.2671739268235466,0.1278110074872405,0.0982806465756014,0.1781758418898448,0.0798951953142434,0.1127989309501994,0.0373582348226545,0.0982806465756014,0.6875,0.8823529411764706,0.2352941176470588,0.8309037900874636,0.2040816326530611,0.9375,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4523809523809523,0.272108843537415,0.3333333333333333,0.3474178403755869,0.5211267605633803,0.1737089201877934,0.4084507042253521,0.1395036887994634,0.3474178403755869,0.2695924764890282,0.5611285266457681,0.2915360501567399,0.4478280340349306,0.258972554539057,0.5611285266457681,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.4821428571428572,0.6530612244897959,0.8,0.0,1.0,1.0,0.4285714285714285,0.9795918367346936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1785714285714285,0.4285714285714285,0.25,0.2806122448979592,0.2332361516034986,0.1785714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5142857142857145,0.5551020408163264,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2272727272727272,0.2272727272727272,0.1168831168831169,0.1261595547309833,0.0909090909090909,0.0755505107832009,0.1829455164585698,0.1073950056753688,0.163641965299173,0.0503379740091269,0.1829455164585698,0.0,0.2804023939895581,0.2804023939895581,0.1602299394226046,0.2746798961530365,0.2804023939895581,0.0,0.0,0.0,0.0,0.0,0.0,0.2995594713656387,0.8458149779735683,0.5462555066079295,0.4644430459408433,0.3768767418861818,0.2995594713656387,1.0,0.4821428571428572,0.4285714285714285,0.0,0.2110216331612129,0.1744424443551148
K2Cd3Te4,8,,K2 Cd3 Te4,0.1666666666666666,0.3358058581314735,0.3083236628903399,0.2988888335217829,0.302824301274306,0.3092015347299106,0.1935483870967742,0.5483870967741935,0.3548387096774194,0.4551971326164875,0.2325766626841895,0.5483870967741935,0.0210526315789473,0.8811881188118812,0.8613861386138614,0.6631578947368421,0.5707602339181287,0.936842105263158,0.1567555746471716,0.5209720021304399,0.3642164274832684,0.4191989464822659,0.2332829971867504,0.5209720021304399,0.0846733648552503,0.1860466947931079,0.1013733299378575,0.1522792131247391,0.0600940873506566,0.1860466947931079,0.0,0.8823529411764706,0.8823529411764706,0.6326530612244898,0.5740740740740738,0.9375,0.5,0.6666666666666666,0.1666666666666666,0.6296296296296297,0.1152263374485596,0.6666666666666666,0.5023474178403756,0.8075117370892019,0.3051643192488263,0.5795513823682839,0.2026314264185939,0.5023474178403756,0.0094043887147335,0.4106583072100314,0.4012539184952979,0.2786485545106235,0.2393281473741244,0.4106583072100314,0.5,1.0,0.5,0.8888888888888888,0.3456790123456789,1.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.7901234567901234,0.8,0.0,1.0,1.0,0.7777777777777777,0.6913580246913579,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5357142857142857,0.5357142857142857,0.369047619047619,0.3280423280423279,0.5357142857142857,0.0,1.0,1.0,0.2222222222222222,0.6913580246913579,0.0,0.0,0.4,0.4,0.1777777777777777,0.3950617283950617,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0505050505050505,0.0718294051627384,0.0909090909090909,0.1258115777525539,0.6126371547486946,0.4868255769961406,0.2956152520283516,0.2817972468625271,0.2644570563750283,0.0,0.0590856997325862,0.0590856997325862,0.0262603109922605,0.0583562466494679,0.0590856997325862,0.0,0.0,0.0,0.0,0.0,0.0,0.6607929515418502,1.0,0.3392070484581498,0.7978463044542339,0.243650405177571,0.6607929515418502,0.8888888888888888,0.3333333333333333,0.7777777777777777,0.0,0.3647339421127468,0.2259948967442262
K4Sn3Ce3S14,9,,K4 Sn3 Ce3 S14,0.25,0.391294188234018,0.4187241241863998,0.4532676795509727,0.469042759014726,0.4795755807977923,0.1612903225806451,0.6129032258064516,0.4516129032258064,0.2688172043010752,0.3010752688172043,0.1612903225806451,0.0210526315789473,0.8613861386138614,0.8415841584158416,0.6600877192982456,0.6823830409356725,0.9157894736842104,0.1278110074872405,0.572479857983837,0.4446688504965965,0.2327906379602142,0.2956425133123005,0.1278110074872405,0.0846733648552503,0.2774987595136768,0.1928253946584265,0.1222454421425802,0.0809659078478371,0.0982806465756014,0.0,0.8823529411764706,0.8823529411764706,0.6505102040816327,0.7122395833333333,0.9375,0.3333333333333333,0.8333333333333334,0.5,0.4652777777777777,0.3078703703703703,0.3333333333333333,0.3474178403755869,0.812206572769953,0.4647887323943662,0.502151799687011,0.3610459050599896,0.3474178403755869,0.0094043887147335,0.5611285266457681,0.5517241379310346,0.387669801462905,0.4047370254266806,0.5611285266457681,0.5,1.0,0.5,0.9166666666666666,0.2777777777777777,1.0,0.0,0.6666666666666666,0.6666666666666666,0.4843749999999999,0.6611111111111111,0.8,0.0,1.0,1.0,0.1374999999999999,0.4312499999999999,0.0,0.0,0.0714285714285714,0.0714285714285714,0.0089285714285714,0.0312499999999999,0.0,0.0,0.4642857142857143,0.4642857142857143,0.1755952380952381,0.1512896825396825,0.1785714285714285,0.0,1.0,1.0,0.1666666666666666,0.5555555555555555,0.0,0.0,0.8,0.8,0.3333333333333333,0.3888888888888887,0.4,0.0,1.0,1.0,0.125,0.4375,0.0,0.0,1.0,1.0,0.125,0.4375,0.0,0.0454545454545454,1.0,0.9545454545454546,0.2083333333333333,0.3958333333333333,0.0909090909090909,0.1829455164585698,0.6126371547486946,0.4296916382901248,0.2760718564762769,0.2298142630429814,0.1829455164585698,0.0,0.2804023939895581,0.2804023939895581,0.1635680631605755,0.2726134386009592,0.2804023939895581,0.0,0.0,0.0,0.0,0.0,0.0,0.2995594713656387,1.0,0.7004405286343612,0.5236784140969163,0.5229441997063141,0.2995594713656387,0.9166666666666666,0.4843749999999999,0.1374999999999999,0.0089285714285714,0.5849687775837243,0.4253172242067847
Pb6B2CrO12,10,,Pb6 B2 Cr1 O12,0.25,0.4173937181062485,0.4239152751730647,0.4418566509690456,0.4546614300510405,0.4647756797200987,0.043010752688172,0.8709677419354839,0.8279569892473119,0.307731694828469,0.6436983395508741,0.075268817204301,0.5052631578947369,0.8514851485148515,0.3762376237623762,0.8531328320802005,0.1191550304332259,0.9052631578947368,0.0403431289071749,0.8485547223230256,0.8082115934158507,0.2915329747615543,0.6365962829273959,0.0616952669153057,0.0107088755811908,0.6127582377480644,0.6020493621668737,0.1355571199414318,0.2853674156805508,0.0107088755811908,0.3125,0.8823529411764706,0.5882352941176471,0.8367346938775511,0.1904761904761903,0.9375,0.1666666666666666,0.8333333333333334,0.6666666666666666,0.373015873015873,0.5502645502645502,0.1666666666666666,0.1643192488262911,0.539906103286385,0.3755868544600939,0.2959982114911691,0.3189507414859527,0.1643192488262911,0.2727272727272727,0.8307210031347962,0.5579937304075235,0.6629347663830422,0.3835113982897233,0.8307210031347962,0.5,1.0,0.5,0.9761904761904762,0.0907029478458049,1.0,0.0,0.6666666666666666,0.6666666666666666,0.5535714285714287,0.4789115646258503,0.8,0.0,1.0,1.0,0.3095238095238095,0.8253968253968254,0.0,0.0,1.0,1.0,0.2857142857142857,0.8163265306122448,0.0,0.0714285714285714,0.9642857142857144,0.8928571428571429,0.3928571428571428,0.6530612244897959,0.1785714285714285,0.0,1.0,1.0,0.0476190476190476,0.1814058956916097,0.0,0.0,1.0,1.0,0.5523809523809524,0.4535147392290248,0.4,0.0,0.5555555555555556,0.5555555555555556,0.0264550264550264,0.1007810531620055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.2727272727272727,0.1818181818181818,0.1385281385281385,0.1088435374149659,0.0909090909090909,0.0139160045402951,0.2040408626560726,0.1901248581157775,0.0800021620452948,0.141758514983746,0.0314642451759364,0.0,0.1940659620527187,0.1940659620527187,0.0184824725764493,0.0668889483719121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0440528634361233,1.0,0.9559471365638766,0.4222781623662681,0.864514968983188,0.0440528634361233,0.9761904761904762,0.5535714285714287,0.3095238095238095,0.2857142857142857,0.593745771956382,0.3534523737504637
